,Mean,Variance,Median,Mode,Skewness,Kurtosis,Energy,Entropy,MinimalGrayLevel,MaximalGrayLevel,CoefficientOfVariation,10Percentile,25Percentile,75Percentile,90Percentile,HistogramWidth,ASM,Contrast,Correlation,SumOfSquaresVariance,InverseDifferenceMoment,SumAverage,SumVariance,SumEntropy,Entropy,DifferenceVariance,DifferenceEntropy,Information1,Information2,MaximalCorrelationCoefficient,Target
Image_1,147.56224138289176,352.01535325017227,148.0,149.0,-0.320142144689356,5.631918600828139,0.018444926919611485,4.29388338259344,25.0,255.0,0.08244334693337682,125.0,138.0,157.0,167.0,42.0,0.00040861165321480285,522.9115270398879,0.2544695978863424,350.665010180468,0.07614939120436778,293.96247819754797,879.7485136819669,6.814901172756878,12.149193424290102,0.00010357105614465879,5.4595105521349705,-0.03313595089952315,0.5615204799945753,3.8529536362649344,1
Image_2,148.78863060974174,326.5185885040192,149.0,149.0,-0.1332695517818041,6.3380217397981955,0.02022164877161516,4.229084672152285,0.0,254.0,0.08203957228257798,128.0,139.0,157.0,166.0,38.0,0.0005449345403231964,414.14998966562473,0.3609782956036441,324.12706849657116,0.09844286469983732,296.3556587052449,882.3582843206968,6.7960581799315865,11.863078621051859,0.0001347753679424943,5.20225717701023,-0.04926564140299304,0.6437058098836904,4.466192394665598,1
Image_3,160.55762500984326,281.8351412253413,161.0,162.0,-0.8094244498772001,7.938976453688756,0.023744879120843155,4.103882740205602,29.0,255.0,0.07902818405336791,143.0,153.0,168.0,176.0,33.0,0.0008629230485558805,327.8634286038586,0.4148925440329145,280.1962717751758,0.13322693894256565,319.82187264359885,792.9216584968308,6.668824344735689,11.389313661486684,0.00018187005578267518,4.902607166045975,-0.07031021769272158,0.7249788747375849,4.477778570870538,1
Image_4,168.59359561592112,279.97610506551143,172.0,174.0,-1.6912572196555613,7.0721216419480495,0.02311600741552516,4.073291642113806,56.0,222.0,0.07778988875995892,147.0,162.0,178.0,184.0,37.0,0.0007451007501275919,253.63175961967448,0.5448276766209641,278.5870921284295,0.11636884790665487,335.9133602414295,860.7166088940357,6.606191499449152,11.373570950741165,0.00018418413932662264,4.91644156226464,-0.058533306327643184,0.6685193142344188,5.408634473746616,1
Image_5,151.4970430563978,361.89475917359886,152.0,152.0,-0.910856130605188,6.0255113086938765,0.01749840676052018,4.306531243526049,20.0,255.0,0.08137999103618344,130.0,141.0,162.0,172.0,42.0,0.0005742504475346547,293.5653773965071,0.5888232385707712,357.44360053358105,0.13500202282724968,301.8394860421524,1136.20902473784,7.057757203071347,11.693740726021684,0.00019361744891269032,4.807042989816036,-0.11109908618283879,0.8463353957559405,5.408066387875078,1
Image_6,157.6171724709186,416.246611503005,159.0,160.0,-2.1110227449601884,11.675705047028746,0.019272305745141077,4.252316171169752,0.0,232.0,0.08000092892952404,138.0,150.0,168.0,177.0,39.0,0.00048005106983208966,453.8012708443542,0.45063139431654975,412.91729131918055,0.09262213678294785,314.009602246029,1197.8678944323983,6.873888203901862,11.910229838287725,0.0001443940211452656,5.20717155341964,-0.05262055515213404,0.6588808786351351,4.24686059533859,1
Image_7,141.19402287139724,320.09758691582425,142.0,154.0,-0.5260788599793489,3.048063617561947,0.016107278168617067,4.288015726671381,48.0,206.0,0.08439716530115933,117.0,129.0,154.0,162.0,45.0,0.00038097275621153896,351.02318778125635,0.4486076860973567,318.33670840528157,0.10608404147596945,281.36150773186523,922.3236458398496,6.939267794105597,11.990779472141032,0.0001558595525533423,5.189055746594569,-0.055673159442302646,0.6661100182536974,4.441397834783616,1
Image_8,157.3366706450696,505.30912330286844,159.0,158.0,-0.7024266422063863,6.3408847230200855,0.01501974513058288,4.45695139840063,28.0,255.0,0.08014355560735027,130.0,145.0,171.0,180.0,50.0,0.0007583762151811688,236.87795450476904,0.7553215645133964,487.6960275326928,0.20833689083697543,313.0752910737426,1713.9061556259985,7.311921411515147,11.447002489540775,0.00029138631760946735,4.369583659892374,-0.21037498260511647,0.9575836285055008,4.896674148135193,1
Image_9,154.57710614983068,303.2149704370867,156.0,158.0,-0.8562494614255874,4.489231237896063,0.018307952585951776,4.230446265409086,68.0,255.0,0.08080107273253205,132.0,145.0,166.0,173.0,41.0,0.0008196179365814612,144.1503914560809,0.7545930596749003,294.73434162831927,0.18457059079452448,308.26857758485744,1034.7869750572063,6.992724542212155,11.154913636581531,0.0002733069423733454,4.320886570322308,-0.16327000012326492,0.9189555958622224,4.845074211845916,1
Image_10,132.7460694384671,422.96418373140676,132.0,128.0,-0.5513036664142795,7.681071405861001,0.01816411931792447,4.318156987541898,15.0,255.0,0.08654964581381981,113.0,123.0,143.0,153.0,40.0,0.0006925076372637929,214.81979270055038,0.7430720370995757,418.4914791077863,0.15457951330589056,264.45696617132353,1459.1461237305666,7.100453485333124,11.534426998866154,0.0002219692071201332,4.598309605419147,-0.14155940413181858,0.8988253163489694,5.823268956898222,1
